Router Name,Country Code,Bandwidth (KB/s),Uptime (Days),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit
Unnamed,FR,5,0,90.10.6.29,AAnnecy-256-1-7-29.w90-10.abo.wanadoo.fr,443,None,0,0,1,0,0,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,SA,0,0,188.132.43.97,188.132.43.97,443,9030,0,1,0,0,0,0,1,1,1,Tor 0.2.1.30 on Very recent version of Windows [major=6-minor=1] Service Pack 1 [workstation] {terminal services- single user},0,0
Unnamed,GB,14,0,92.232.252.225,cpc1-wake6-0-0-cust224.barn.cable.virginmedia.com,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux i686,0,0
Unnamed,RO,468,37,89.45.202.93,pc93.efx.ro,443,9030,0,1,1,0,0,1,1,1,1,Tor 0.2.2.32 (git-877e17749725ab88) on Windows Server 2003 Service Pack 2 [server],0,0
Unnamed,US,8,1,24.18.159.110,c-24-18-159-110.hsd1.wa.comcast.net,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,FR,2,0,90.10.213.78,AClermont-Ferrand-256-1-142-78.w90-10.abo.wanadoo.fr,443,None,0,1,0,0,0,0,1,1,0,Tor 0.2.1.30 on Windows XP Service Pack 3 [workstation] {personal} {terminal services- single user},0,0
Unnamed,NZ,259,8,114.31.211.29,114.31.211.29,443,None,0,0,1,1,0,1,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux i686,0,0
Unnamed,UA,47,21,178.86.10.88,178.86.10.88,9090,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux i686,0,0
Unnamed,CZ,7753,35,94.23.174.3,94-23-174-3.ovh.net,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.2.33 (git-8522652d8e9213d4) on Linux x86_64,0,0
Unnamed,US,0,0,66.212.24.96,66.212.24.96.static.quadranet.com,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Darwin i386,0,0
Unnamed,RU,114,4,95.24.117.103,95-24-117-103.broadband.corbina.ru,21598,21599,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,SY,0,0,31.9.60.119,31.9.60.119,443,None,0,1,0,0,0,0,1,1,0,Tor 0.2.1.30 on Very recent version of Windows [major=6-minor=1] Service Pack 1 [workstation] {terminal services- single user},0,0
Unnamed,IT,4,0,79.41.169.99,host99-169-dynamic.41-79-r.retail.telecomitalia.it,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Darwin i386,0,0
